# RA	DEC
-161.143607 -65.757014
-162.712328 -65.809288
-164.286408 -65.845829
-165.863958 -65.866566
-167.443065 -65.871457
-169.021804 -65.860492
-170.598249 -65.833693
-172.170497 -65.791114
-173.736674 -65.732837
-175.294955 -65.658976
-176.843576 -65.569673
-178.380842 -65.465097
-179.905145 -65.345444
178.585032 -65.210933
177.091107 -65.061806
175.614389 -64.898324
174.156077 -64.720768
172.717257 -64.529434
171.298898 -64.324631
169.901855 -64.106681
168.526868 -63.875915
167.174564 -63.632672
165.845465 -63.377296
164.539987 -63.110135
163.258447 -62.831539
162.001071 -62.541859
160.767995 -62.241445
159.559276 -61.930643
158.374895 -61.609799
157.214768 -61.279252
156.078744 -60.939336
